"","TransactionNumber","UserID","Age","Gender","Occupation","EducationLevel","MaritalStatus","NumDependents","Income","Expenditure","GiftsTransaction","TransactionDate","TransactionTime","TransactionAmount","MerchantID","TransactionType","TransactionLocation","DeviceType","Latitude","Longitude","EmailDomain","Terrorism","UserTenure","IsFraud"
"33",11409,4165,37,"Male","Professional","High School","Married",1,34730.55,25960.05,"966.05 GBP","2023-09-23","18:51:22",52.7,"M007","Purchase","Mel","mob",-31.840233,145.612793,"alanbradley@yahoo.com","False",17,0
"34",8031,4867,31,"Female","Student","High School","Widowed",1,61718.9,41013.99,"£ 2422.87","2023-12-26","16:02:38",1360.31,"M001","Transfer","Brisbane","Tablet",-20.917574,142.702789,"todd77@gmail.com","True",18,0
"35",4190,3207,42,"Male","Professional","High School","Married",1,56576.53,22365.56,"£ 361.54","2023-06-11","02:22:12",34.95,"M004","Purchase","Darwin","Desktop",-37.0201,144.9646,"cynthia27@tempmail.com","False",106,1
"36",18053,4138,55,"Female","Professional","High School","Married",3,73516.82,35706.968,"7842.88 AUD","2023-04-18","08:39:30",2.892,"M008","Payment","Canberra","Mobile",-41.640079,146.315918,"jonathan21@gmail.com","False",89,0
"37",11529,3617,18,"Female","Unemployed","High School","Married",2,52486.36,32370.19,"7539.46 GBP","2023-12-02","18:32:11",198.41,"M003","Withdrawal","Sydney","Mobile",-31.840233,145.612793,"olucero@gmail.com","False",16,1
"38",13655,2273,40,"Male","Student","Bachelor","Married",4,119498.91,57677.54,"£ 9704.66","2023-12-08","14/20/13",82.03,"M006","Purchase","Sydney","Mobile",-31.840233,145.612793,"rubiochristopher@outlook.com","False",35,0
"39",7724,2955,-1,"Other","Student","Bachelor","Married",4,105727.69,82090.6,"4303.21 GBP","2023-12-20","01:16:56",51.32,"M004","Withdrawal","Brisbane","Mobile",-31.840233,145.612793,"greeraudrey@disposable.com","True",78,1
"40",642,3609,48,"Female","Unemployed","High School","Married",4,40163.34,30880.64,"£ 1509.99","2023-01-08","06:05:34",26.69,"M008","Transfer","Adelaide","Desktop",-30.000233,136.209152,"tiffany51@gmail.com","False",47,0
"41",549,4714,40,"Male","Student","Bachelor","Single",2,69175.91,33882.72,"6838.19 GBP","2023-03-19","02:02:26",764.01,"M004","Purchase","Adelaide","Mobile",-31.840233,145.612793,"cooperbradley@yahoo.com","False",65,1
"42",4462,205,-1,"Male","Student","High School","Married",2,80021.21,39039.38,"2761.64 GBP","2023-09-16","21:35:02",198.66,"M002","Withdrawal","Darwin","Mobile",-37.0201,144.9646,"gibsonchristopher@yahoo.com","False",22,1
"43",15136,1838,40,"Female","Professional","Master","Single",2,112448.56,55611.748,"2275.96 AUD","2023-10-07","20:56:31",13.268,"M005","Purchase","Canberra","Mobile",-31.840233,145.612793,"sboyd@outlook.com","False",68,0
"44",7046,3025,-1,"Male","Unemployed","High School","Single",1,48603.3,30078.57,"£ 1402.06","2023-03-18","10:13:16",362.58,"M004","Payment","Melbourne","Mobile",-20.917574,142.702789,"lisa65@outlook.com","False",52,0
"45",15759,1639,26,"Male","Professional","High School","Divorced",1,56790.7,29750.92,"1879.51 AUD","2023-11-17","16:14:02",417.632,"M005","Withdrawal","Hobart","Desktop",-41.640079,146.315918,"diana83@gmail.com","False",8,1
"46",15629,1131,35,"Female","Student","PhD","Widowed",3,72725.88,56981.976,"AU$ 5417.49","2023-12-30","07:41:09",765.932,"M007","Payment","Perth","Mobile",-37.0201,144.9646,"lanemichelle@gmail.com","False",92,0
"47",1793,2978,53,"Male","Professional","Master","Married",3,57004.46,20461.87,"£ 2476.64","2023-12-28","21:23:13",573.81,"M004","Purchase","Melbourne","Mobile",-31.840233,145.612793,"christopher78@tempmail.com","False",55,0
"48",1692,548,-1,"Female","Professional","High School","Single",2,30510.67,9854.51,"1300.04 GBP","2023-10-04","15:50:58",130.78,"M004","Purchase","Hobart","Mobile",-37.0201,144.9646,"ericperez@yahoo.com","False",61,0
"49",8632,1117,27,"Male","Professional","Bachelor","Divorced",3,92112.83,70062.72,"£ 3743.54","2023-06-01","19:01:18",175.78,"M005","Purchase","Perth","Mobile",-37.0201,144.9646,"umorrow@outlook.com","False",92,0
"50",5430,4343,35,"Male","Professional","Bachelor","Married",4,32736.66,19165.33,"£ 1291.25","2023-07-04","14:49:59",378.8,"M007","Purchase","Hobart","Mobile",-25.042261,117.793221,"john87@gmail.com","False",24,0
"51",11521,2563,35,"Male","Student","High School","Married",2,69667.7,46004,"7073.08 GBP","2023-12-08","00:41:54",368.75,"M006","Payment","Adelaide","Mobile",-31.840233,145.612793,"jerryharvey@gmail.com","False",59,1
"52",493,1145,43,"Female","Professional","Bachelor","Widowed",1,183749.38,144467.1,"2485.52 GBP","2023-01-27","17:02:41",101.64,"M004","Purchase","Darwin","Mobile",-20.917574,142.702789,"stevensanthony@disposable.com","False",28,0
"53",11628,514,34,"Male","Professional","High School","Single",0,53924.18,17504.94,"4600.24 GBP","2023-08-20","06:00:48",796.23,"M001","Purchase","Brisbane","Desktop",-25.042261,117.793221,"charles60@outlook.com","False",81,0
"54",4253,1071,44,"Male","Retired","High School","Married",1,34785.24,26800.42,"£ 4650.15","2023-09-04","20:52:20",332.25,"M006","Purchase","Brisbane","Mobile",-20.917574,142.702789,"ndavis@gmail.com","True",68,0
"55",13128,2303,26,"Male","Retired","Master","Single",1,138804.27,70992.28,"5712.87 GBP","2023-06-09","17:03:25",100.12,"M005","Transfer","Adelaide","Tablet",-37.0201,144.9646,"castillodavid@yahoo.com","False",36,0
"56",14470,244,44,"Male","Student","High School","Married",2,40395.6,32224.49,"£ 1036.47","2023-12-30","04:31:23 PM",30.26,"M008","Purchase","Brisbane","Desktop",-25.042261,117.793221,"showard@tempmail.com","True",6,0
"57",1463,1682,33,"Male","Professional","High School","Single",3,51150.96,21483.6,"£ 2050.69","2023-07-24","22:07:29",469.03,"M001","Purchase","Sydney","Mobile",-20.917574,142.702789,"johnsonjulie@disposable.com","True",3,0
"58",13866,536,-1,"Male","Professional","High School","Married",1,156147.73,50988.31,"£ 821.09","2023-10-14","22:36:32",194.7,"M002","Purchase","Adelaide","Mobile",-37.0201,144.9646,"colemanbilly@tempmail.com","False",52,0
"59",11256,2856,38,"Female","Professional","Bachelor","Married",1,44345.81,13965.6,"£ 18.21","2023-07-11","02:07:25",692.53,"M008","Withdrawal","Canberra","Desktop",40.43026,50.03598,"lucasvictoria@outlook.com","False",112,1
"60",11248,4267,24,"Male","Student","Bachelor","Married",1,128661.48,57467,"£ 3658.89","2023-07-02","01:49:23",64.39,"M003","Transfer","Perth","Tablet",-20.917574,142.702789,"phillipspatricia@yahoo.com","False",11,1
"61",7831,3800,-1,"Female","Professional","High School","Married",4,71815.71,37729.96,"5813.27 GBP","2023-04-15","13:27:01",603.84,"M001","Withdrawal","Sydney","Mobile",-20.917574,142.702789,"davidmartin@gmail.com","False",19,1
"62",14084,778,34,"Male","Student","High School","Married",2,77998.78,57689.04,"£ 1449.55","2023-10-27","08:19:38 PM",287.38,"M006","Withdrawal","Perth","Desktop",-37.0201,144.9646,"cindymiller@tempmail.com","True",64,1
"63",14155,3123,33,"Male","Professional","High School","Married",3,54910.78,23014.21,"1027.36 GBP","2023-12-29","10:32:41 PM",248.25,"M003","Purchase","Brisbane","Desktop",-20.917574,142.702789,"longjeremy@yahoo.com","True",62,0
"64",14073,620,37,"Female","Unemployed","High School","Single",1,138550.41,79990.08,"2214.27 GBP","2023-01-30","00:07:39",3.98,"M007","Withdrawal","Brisbane","Desktop",-20.917574,142.702789,"josemartin@gmail.com","False",105,1
"65",2287,307,31,"Male","Professional","High School","Married",3,25062.03,13213.16,"£ 836.12","2023-09-20","03:54:48",54.14,"M001","Purchase","Sydney","Mobile",-20.917574,142.702789,"kimberly63@tempmail.com","False",71,1
"66",17304,873,44,"Female","Professional","High School","Widowed",3,35631.99,11177.252,"AU$ 10919.03","2023-05-29","07:19:28",15.02,"M003","Payment","Melbourne","Mobile",-37.0201,144.9646,"nancy85@gmail.com","False",88,0
"67",11630,3567,48,"Male","Professional","Bachelor","Married",3,124930.64,50236.33,"2951.09 GBP","2023-08-10","23:17:17",356.26,"M002","Transfer","Adelaide","Mobile",-20.917574,142.702789,"ychavez@tempmail.com","False",58,0
"68",8696,630,34,"Male","Professional","High School","Single",2,33147.62,17387.2,"1698.65 GBP","2023-11-29","17:16:50",261.17,"M005","Transfer","Canberra","Mobile",-25.042261,117.793221,"shawnawright@outlook.com","False",118,0
"69",965,4831,28,"Female","Professional","High School","Married",3,67826.46,26706.2,"10187.99 GBP","2023-02-06","05:15:00",11.37,"M007","Purchase","Darwin","Mobile",-37.0201,144.9646,"ashleemiller@gmail.com","False",73,1
"70",444,1813,18,"Female","Professional","High School","Married",0,42262.54,25487.01,"£ 3540.34","2023-11-02","00:00:00",3138.62,"M003","Transfer","Perth","Mobile",-31.840233,145.612793,"rodriguezbrandon@outlook.com","False",1,1
"71",9938,100,18,"Male","Retired","Bachelor","Single",3,53376.26,35148.54,"£ 17.47","2023-07-03","13:33:40",193.01,"M008","Purchase","Hobart","Mobile",-20.917574,142.702789,"jeffrey29@yahoo.com","False",117,0
"72",6348,2703,19,"Male","Professional","Bachelor","Single",0,33945.55,22299.88,"1539.72 GBP","2023-12-15","11:36:23",99.08,"M008","Payment","Perth","Desktop",-31.840233,145.612793,"danieltiffany@outlook.com","False",32,0
"73",10714,1605,-1,"Female","Student","High School","Single",4,72857.65,45549.01,"5463.49 GBP","2023-08-04","20/48/42",173.33,"M006","Purchase","Darwin","Mobile",-31.840233,145.612793,"adam15@yahoo.com","False",51,0
"74",6674,2178,34,"Male","Student","Bachelor","Married",2,48259.54,23273.78,"£ 506.32","2023-07-06","18:09:20",326.57,"M008","Purchase","Brisbane","Mobile",-20.917574,142.702789,"lmartinez@yahoo.com","False",43,0
"75",438,2042,36,"Female","Student","Master","Single",3,65986.34,39396.63,"£ 6550.37","2023-05-03","00:00:00",950.76,"M007","Transfer","Melbourne","Mobile",-31.840233,145.612793,"oliviamurillo@gmail.com","False",33,0
"76",7821,1054,27,"Male","Unemployed","Master","Divorced",4,73110.26,33051.85,"3527.03 GBP","2023-05-11","01:24:38",807.58,"M006","Purchase","Melbourne","Mobile",-25.042261,117.793221,"nicolebaker@gmail.com","False",47,0
"77",11368,4621,36,"Female","Professional","Bachelor","Single",3,78277.17,23843.38,"£ 396.48","2023-12-17","12:03:07",220.4,"M005","Purchase","Melbourne","Mobile",-35.473469,149.012375,"fnicholson@gmail.com","True",110,0
"78",13551,3337,51,"Male","Student","PhD","Single",4,59894.19,47913.54,"646.16 GBP","2023-09-18","23/59/59",534.18,"M002","Withdrawal","Sydney","Desktop",-31.840233,145.612793,"angela54@outlook.com","True",44,1
"79",17189,1454,27,"Male","Professional","Bachelor","Married",1,36151.65,21535.404,"3617.7 AUD","2023-01-16","15:30:52",1739.868,"M007","Transfer","Sydney","Desktop",-37.0201,144.9646,"awatson@tempmail.com","False",33,0
"80",5740,3666,61,"Male","Professional","High School","Single",2,119230.48,44520.03,"8034.04 GBP","2023-06-12","21:44:58",201.03,"M001","Purchase","brisbane","Mobile",-37.0201,144.9646,"april17@gmail.com","True",32,0
"81",1494,950,52,"Male","Professional","Bachelor","Married",2,76724.76,42300.82,"5789.33 GBP","2023-09-17","10:40:13",130.12,"M005","Purchase","Melbourne","android",-25.042261,117.793221,"charlescooper@gmail.com","False",24,0
"82",9515,1794,43,"Female","Student","High School","Married",4,71753.44,51918.74,"2264.95 GBP","2023-11-18","00:58:49",30.14,"M005","Transfer","Adelaide","Desktop",-20.917574,142.702789,"bward@securemail.com","False",64,1
"83",17679,2883,43,"Female","Unemployed","Master","Single",3,72020.18,46526.408,"AU$ 11415.85","2023-07-07","21:09:43",74.864,"M005","Withdrawal","Adelaide","Desktop",-31.840233,145.612793,"scottchandler@gmail.com","True",93,1
"84",5261,987,-1,"Male","Professional","Bachelor","Married",1,49864.6,22072.97,"2036.67 GBP","2023-05-25","21:37:48",256.19,"M005","Withdrawal","Perth","Desktop",-37.0201,144.9646,"williamsmichael@outlook.com","False",81,1
"85",467,4984,-1,"Male","Professional","Master","Single",2,53806.55,23402.54,"415.36 GBP","2023-04-18","17:51:13",102.87,"M001","Payment","Brisbane","Mobile",-37.0201,144.9646,"lauren90@gmail.com","False",35,0
"86",13796,3798,33,"Male","Student","High School","Single",1,94374.04,43303.66,"£ 817.51","2023-12-26","18/43/35",430.47,"M002","Withdrawal","Sydney","Desktop",-20.917574,142.702789,"michael04@yahoo.com","True",118,1
"87",3751,4723,36,"Female","Professional","Bachelor","Married",4,48425.06,32665.25,"2231.87 GBP","2023-06-17","08:22:50",161.44,"M004","Purchase","Darwin","smartphone",-35.473469,149.012375,"wsloan@gmail.com","False",117,0
"88",14399,3250,52,"Male","Professional","Bachelor","Single",2,55666.31,29339.16,"£ 825.05","2023-11-18","01:40:23",47.88,"M005","Purchase","Perth","iphone 15",-31.840233,145.612793,"walkerjane@yahoo.com","False",33,1
"89",756,3989,28,"Male","Professional","Bachelor","Married",3,73539.45,23824.09,"£ 945.49","2023-06-13","19:54:28",1342.2,"M001","Purchase","Adelaide","Mobile",-37.0201,144.9646,"nicholasreeves@yahoo.com","False",55,0
"90",17384,2057,28,"Female","Professional","Master","Single",0,132714.06,59841.444,"AU$ 27126.77","2023-01-16","12:18:48 PM",308.652,"M005","Transfer","Melb","Mobile",-37.0201,144.9646,"hhunter@yahoo.com","False",108,0
"91",7512,4701,46,"Female","Unemployed","Bachelor","Married",1,84164.8,45706.72,"874.51 GBP","2023-04-26","12:15:50",27.43,"M006","Purchase","Adelaide","galaxys7",-37.0201,144.9646,"mikesullivan@yahoo.com","False",27,0
"92",2688,10,32,"Male","Student","Bachelor","Married",2,73827.19,42587.24,"£ 2818.46","2023-03-05","11:23:29",219.24,"M006","Payment","Perth","Mobile",-31.840233,145.612793,"andrew59@gmail.com","False",3,0
"93",5186,2132,18,"Female","Student","Bachelor","Single",1,135586.41,91539.67,"£ 4382.8","2023-10-23","00/00/00",25.93,"M007","Payment","Darwin","Mobile",-20.917574,142.702789,"sherry65@gmail.com","True",72,1
"94",10206,3882,39,"Male","Unemployed","Bachelor","Married",0,58818.24,35177.33,"£ 2757.33","2023-05-06","19:05:30",987.29,"M005","Purchase","Sydney","Desktop",-37.0201,144.9646,"marshalljennifer@disposable.com","False",17,0
"95",8352,3379,32,"Male","Professional","High School","Married",4,23521.53,15858.68,"£ 1086.98","2023-11-18","06:18:12 AM",136.02,"M002","Withdrawal","Melbourne","Tablet",-25.042261,117.793221,"francesjoseph@yahoo.com","False",65,0
"96",17319,4931,18,"Male","Retired","High School","Single",1,63479.88,41913.252,"AU$ 16523.71","2023-10-31","06:35:41",95.008,"M005","Transfer","Darwin","Mobile",-35.473469,149.012375,"hjohnson@outlook.com","False",27,0
"97",3958,2344,43,"Female","Professional","High School","Married",4,87174.54,67460.82,"2223.43 GBP","2023-12-13","19:29:55",14.45,"M001","Purchase","Canberra","Desktop",-37.0201,144.9646,"julie68@yahoo.com","False",18,0
"98",915,2334,52,"Female","Professional","Bachelor","Married",3,65600.23,39500.33,"38.77 GBP","2023-10-13","02:53:11",915.19,"M002","Purchase","Darwin","Desktop",-20.917574,142.702789,"josephhill@tempmail.com","True",80,1
"99",9742,1078,30,"Male","Professional","High School","Single",0,116632.87,78473.93,"£ 7428.86","2023-09-24","16:36:27",813.55,"M002","Payment","Perth","iphone 15",-25.042261,117.793221,"jameskaren@gmail.com","False",110,0
"100",4511,418,50,"Male","Professional","High School","Single",0,80923.88,57337.42,"1657.13 GBP","2023-11-20","23:59:59",424.48,"M006","Purchase","Brisbane","Desktop",-37.0201,144.9646,"adam31@gmail.com","False",55,0
"101",1374,2031,-1,"Female","Professional","High School","Single",0,26088.42,14988.63,"£ 1203.13","2023-05-22","03:56:07 PM",607.98,"M004","Purchase","Canberra","Mobile",-41.640079,146.315918,"robert94@gmail.com","False",34,0
"102",10460,2882,48,"Male","Professional","Bachelor","Married",4,75369.95,30721.58,"1165.58 GBP","2023-10-02","01:12:53",1520.84,"M005","Purchase","Darwin","android",-31.840233,145.612793,"julie32@outlook.com","False",94,1
"103",11039,1483,50,"Male","Professional","High School","Divorced",1,62189.18,25646.64,"8597.08 GBP","2023-12-14","16:01:28",5.07,"M004","Purchase","Sydney","Mobile",-31.840233,145.612793,"pamelahartman@gmail.com","False",48,0
"104",13084,3647,-1,"Female","Professional","Bachelor","Single",3,99819.89,37622.12,"2981.28 GBP","2023-11-18","04:41:27",68.38,"M002","Purchase","Perth","Tablet",-35.473469,149.012375,"alexisgibson@outlook.com","False",7,1
"105",17712,1211,28,"Male","Unemployed","Bachelor","Married",1,89020.1,45567.088,"1154.15 AUD","2023-06-08","23:13:20",97.036,"M005","Payment","Sydney","Mobile",-31.840233,145.612793,"elizabethbenjamin@yahoo.com","False",64,0
"106",12615,4504,51,"Female","Student","Bachelor","Single",0,96239.76,72885.51,"£ 6731.35","2023-08-25","18:21:48",1309.29,"M003","Transfer","Darwin","iphone 15",-31.840233,145.612793,"natalie81@outlook.com","False",68,0
"107",17071,1465,28,"Female","Professional","High School","Married",1,44196.64,20304.964,"2338.85 AUD","2023-12-24","17:13:16",99.036,"M004","Purchase","Adelaide","Desktop",-20.917574,142.702789,"chapmantammy@gmail.com","False",95,0
"108",14793,2654,31,"Female","Unemployed","High School","Single",2,72515.21,53558.636,"682.91 AUD","2023-02-24","14:52:17",24.112,"M005","Transfer","Melbourne","Desktop",-20.917574,142.702789,"janetaylor@outlook.com","False",16,0
"109",6572,4882,41,"Female","Retired","Bachelor","Single",0,39728.73,24247.69,"2065.05 GBP","2023-06-09","23:59:59",193.86,"M006","Purchase","Adelaide","galaxys7",-31.840233,145.612793,"amyperez@gmail.com","False",66,0
"110",11878,2391,36,"Male","Professional","Bachelor","Single",2,83792.92,29021.67,"£ 16636.67","2023-05-31","23:18:01",82.89,"M005","Purchase","Sydney","Desktop",-31.840233,145.612793,"davidsonroberta@gmail.com","False",57,0
"111",537,4756,-1,"Male","Professional","Bachelor","Married",1,94556.36,50555.81,"£ 6252.16","2023-11-18","19:04:57",34.41,"M003","Purchase","Adelaide","Desktop",-20.917574,142.702789,"angela47@tempmail.com","False",27,0
"112",10712,1639,-1,"Male","Professional","High School","Divorced",1,56790.7,29870.4,"£ 958.55","2023-11-17","16/04/07",35.7,"M001","Purchase","Darwin","mob",-41.640079,146.315918,"diana83@gmail.com","False",8,0
"113",12397,1389,28,"Female","Student","Bachelor","Single",4,93565.48,30483.18,"£ 2671.01","2023-07-15","14:57:28",461.04,"M001","Transfer","Canberra","Mobile",-31.840233,145.612793,"mooredavid@gmail.com","False",62,0
"114",5215,2221,36,"Male","Professional","High School","Single",1,100540.85,49337.05,"£ 2924.21","2023-12-13","02:48:59",90.46,"M001","Purchase","Sydney","Desktop",-20.917574,142.702789,"james12@yahoo.com","False",52,1
"115",15190,1993,27,"Male","Unemployed","High School","Married",1,62940.39,24423.644,"14279.17 AUD","2023-07-21","15:35:40",52.18,"M003","Purchase","Brisbane","Mobile",-41.640079,146.315918,"cassandrathompson@gmail.com","False",105,0
"116",15038,688,29,"Male","Student","Bachelor","Single",1,78935.75,26988.076,"2038.91 AUD","2023-10-04","18:59:58",1037.848,"M006","Payment","Darwin","Desktop",-25.042261,117.793221,"vjohnson@gmail.com","False",95,0
"117",16331,3130,34,"Male","Student","High School","Married",4,78476.8,53541.304,"4693.01 AUD","2023-07-25","05/59/00",165.848,"M006","Purchase","Brisbane","galaxys7",-37.0201,144.9646,"randycampbell@gmail.com","False",49,1
"118",17403,180,35,"Female","Student","Bachelor","Married",3,124855.28,66873.76,"5435.46 AUD","2023-11-28","23:59:59",1758.772,"M005","Transfer","Canberra","Mobile",-31.840233,145.612793,"xjackson@yahoo.com","False",42,0
"119",9808,378,41,"Male","Professional","High School","Married",2,58620.06,39326.07,"£ 5504.35","2023-11-27","12:23:32",41.78,"M006","Purchase","Melbourne","Mobile",-31.840233,145.612793,"lindarodriguez@gmail.com","False",80,0
